/* DATA DESCRIPTION:
Citation:	Thomas, Nicola C; Bradbury, Harold J; Hodell, David A (2022): Determination of stable isotopes of IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.945863, 
	In: Thomas, NC et al. (2022): Reconstructed paleo-oxygen concentration, stable isotope measurements and Gaussian interpolated Δδ13C obtained from the IODP Site 339-U1385 for the past 1.5 Ma, including trace element analyses and Uvigerina spp. abundance over MIS 27-21. PANGAEA, https://doi.org/10.1594/PANGAEA.945872
Keyword(s):	Biological pump; Ice core; Inorganic carbon storage; MPT; Oxygen concentration
Coverage:	LATITUDE: 37.571416 * LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2587.0 m * MAXIMUM ELEVATION: -2587.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: IODP 339-U1385 Depth (crmcd) Gint Age (ka BP)
	AGE [ka BP] (Age) * GEOCODE * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Age model, LR04 Lisiecki & Raymo (2005) (URI: https://doi.org/10.1029/2004PA001071)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ18O [‰ PDB] (G. affinis δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ13C [‰ PDB] (G. affinis δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Δδ13C, gradient [‰ PDB] (Δδ13C grad) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: Between Cibicidoides wuellerstorfi and Globobulimina affinis [vs VPDB]
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317)
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317) * COMMENT: Truncated
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	27590 data points
*/
Depth corr cr [crmcd] (IODP 339-U1385 Depth (crmcd) ...)	Age [ka BP] (Age model, LR04 Lisiecki & Ra...)	C. wuellerstorfi δ18O [‰ PDB] (vs VPDB)	C. wuellerstorfi δ13C [‰ PDB] (vs VPDB)	G. affinis δ18O [‰ PDB] (vs VPDB)	G. affinis δ13C [‰ PDB] (vs VPDB)	Δδ13C grad [‰ PDB] (Between Cibicidoides wuellers...)	O2 [µmol/kg] (Calculated according to Hooga...)	O2 [µmol/kg] (Truncated, Calculated accordi...)
122.99	1076.61	3.08	0.79	3.860	-2.31	3.10	397.47	235.00
122.99	1076.68	2.91	0.91	3.930	-2.30	3.21	415.36	235.00
123.00	1076.75	2.97	0.75	3.780	-2.37	3.12	400.29	235.00
123.01	1076.81	3.05	0.91	3.680	-2.28	3.19	411.41	235.00
123.04	1077.08	2.94	0.58	3.750	-2.18	2.76	345.24	235.00
123.04	1077.15	3.05	0.89	3.910	-2.01	2.90	367.06	235.00
123.05	1077.22	2.94	0.89	3.790	-2.14	3.03	387.47	235.00
123.38	1080.47	3.06	0.67	4.380	-2.64	3.31	429.69	235.00
123.42	1080.87	3.08	0.86	3.790	-2.07	2.93	371.30	235.00
123.46	1081.26	2.97	0.76	4.590	-2.67	3.43	448.75	235.00
123.50	1081.65	3.02	0.83	4.210	-2.59	3.42	446.88	235.00
123.58	1082.44	3.16	0.78	4.060	-2.28	3.06	391.25	235.00
123.62	1082.84	3.36	0.69	4.130	-2.24	2.93	370.94	235.00
123.66	1083.23	3.24	0.83	4.150	-2.09	2.92	370.00	235.00
123.70	1083.62	3.19	0.79	4.150	-2.01	2.80	351.30	235.00
123.74	1084.02	3.26	0.90	4.080	-2.34	3.24	420.16	235.00
123.78	1084.41	3.30	0.89	4.150	-2.14	3.03	387.03	235.00
123.82	1084.81	3.31	0.91	4.010	-2.34	3.25	421.56	235.00
123.86	1085.20	3.34	0.92	4.040	-2.30	3.22	416.88	235.00
123.90	1085.59	3.30	0.82	3.780	-2.50	3.32	431.25	235.00
123.94	1085.99	3.10	0.84	4.160	-2.18	3.02	385.63	235.00
123.98	1086.38	3.28	0.85	4.060	-2.03	2.88	362.85	235.00
124.02	1086.78	3.12	0.71	4.110	-2.10	2.81	352.29	235.00
124.08	1087.37	3.33	0.78	4.130	-2.10	2.88	362.64	235.00
124.12	1087.76	3.13	0.69	4.200	-1.99	2.68	331.79	235.00
124.16	1088.15	3.29	0.76	4.290	-2.03	2.79	349.19	235.00
124.20	1088.55	3.27	0.68	4.300	-2.09	2.77	346.08	235.00
124.24	1088.94	3.35	0.61	4.310	-2.10	2.71	336.17	235.00
124.28	1089.34	3.36	0.74	4.470	-1.85	2.59	318.16	235.00
124.32	1089.73	3.21	0.73	4.510	-1.96	2.69	332.88	235.00
124.36	1090.12	3.29	0.58	4.480	-1.99	2.57	315.28	235.00
124.40	1090.52	3.51	0.76	4.510	-1.87	2.63	324.46	235.00
124.44	1090.91	3.40	0.66	4.460	-2.12	2.78	348.01	235.00
124.48	1091.31	3.27	0.66	4.380	-2.19	2.85	358.59	235.00
124.52	1091.70	3.37	0.32	4.310	-2.16	2.48	300.27	235.00
124.56	1092.09	3.33	0.53	4.280	-2.23	2.76	344.11	235.00
124.64	1092.88	3.34	0.31	4.250	-2.20	2.51	305.93	235.00
124.68	1093.28	3.12	-0.05	4.210	-2.28	2.23	262.32	235.00
124.72	1093.67	3.19	0.46	4.340	-2.38	2.84	357.23	235.00
124.76	1094.06	3.40	0.11	4.350	-2.28	2.39	287.07	235.00
124.78	1094.26	3.41	-0.11	4.330	-2.13	2.02	228.66	228.66
124.80	1094.46	3.71	-0.26	4.470	-2.01	1.75	187.05	187.05
124.84	1094.84	3.81	0.57	4.440	-2.21	2.78	347.88	235.00
124.88	1095.21	3.41	0.24	4.420	-2.43	2.67	330.81	235.00
125.07	1097.07	3.81	0.18	4.750	-2.31	2.49	302.59	235.00
125.10	1097.44	3.84	0.84	4.700	-2.27	3.11	398.92	235.00
125.14	1097.81	3.54	0.36	4.550	-2.35	2.71	336.04	235.00
125.18	1098.18	3.55	0.09	4.570	-2.28	2.37	283.40	235.00
125.22	1098.56	3.93	0.25	4.550	-2.20	2.45	296.07	235.00
125.23	1098.75	3.72	0.70	4.230	-2.46	3.16	407.34	235.00
125.25	1098.94	3.75	0.72	4.250	-2.40	3.12	400.90	235.00
125.29	1099.33	3.67	0.77	4.460	-2.15	2.92	369.17	235.00
125.33	1099.71	3.53	0.75	4.420	-2.25	3.00	382.03	235.00
125.37	1100.09	3.55	0.76	4.440	-2.32	3.08	394.94	235.00
125.40	1100.47	3.33	0.32	4.060	-2.36	2.68	332.02	235.00
125.42	1100.66	3.36	0.34	4.170	-2.41	2.75	342.50	235.00
125.44	1100.85	3.40	0.46	4.180	-2.34	2.80	350.66	235.00
125.48	1101.23	3.51	0.29	4.170	-2.38	2.67	329.79	235.00
125.52	1101.65	3.33	0.28	4.310	-2.32	2.60	319.99	235.00
125.57	1102.18	3.39	0.63	4.430	-2.24	2.87	361.88	235.00
125.62	1102.60	3.19	0.35	4.330	-2.25	2.60	319.69	235.00
125.70	1103.45	3.25	0.71	4.410	-2.40	3.11	399.22	235.00
125.74	1103.87	3.33	0.70	4.180	-2.00	2.70	335.82	235.00
125.76	1104.08	3.34	0.57	4.110	-2.29	2.86	359.84	235.00
125.78	1104.29	3.23	0.76	4.200	-2.20	2.96	376.46	235.00
125.82	1104.71	3.30	0.80	4.150	-2.11	2.91	368.45	235.00
125.87	1105.14	3.14	0.63	4.160	-2.34	2.97	378.12	235.00
125.91	1105.56	3.16	0.87	4.220	-2.12	2.99	380.16	235.00
125.97	1106.19	3.10	0.83	3.810	-2.59	3.42	446.88	235.00
125.99	1106.40	3.00	0.89	4.190	-2.48	3.37	439.38	235.00
126.03	1106.83	3.02	0.91	4.070	-2.58	3.49	457.97	235.00
126.08	1107.25	3.18	1.00	4.020	-2.21	3.21	414.06	235.00
126.12	1107.67	3.12	0.89	3.970	-2.18	3.07	393.71	235.00
126.14	1107.88	3.06	0.81	4.020	-2.31	3.12	400.78	235.00
126.20	1108.46	3.01	0.91	3.920	-2.44	3.35	436.72	235.00
126.24	1108.83	2.91	0.91	3.960	-2.57	3.48	457.50	235.00
126.28	1109.21	2.94	0.87	3.760	-2.34	3.21	414.84	235.00
126.33	1109.58	2.84	0.74	3.800	-2.54	3.28	425.00	235.00
126.37	1109.95	2.87	0.44	3.890	-2.16	2.60	318.91	235.00
126.41	1110.33	3.03	0.77	3.940	-1.95	2.72	338.13	235.00
126.45	1110.71	3.04	0.84	3.590	-2.16	3.00	382.66	235.00
126.50	1111.09	3.12	0.67	3.970	-2.27	2.94	372.50	235.00
126.54	1111.47	3.14	0.52	4.030	-2.17	2.69	333.93	235.00
126.58	1111.81	3.02	0.94	4.110	-2.10	3.04	387.97	235.00
126.58	1111.86	3.11	0.66	4.010	-2.35	3.01	383.13	235.00
126.61	1112.15	3.09	0.94	3.940	-2.39	3.33	433.91	235.00
126.62	1112.24	3.24	0.51	4.320	-2.56	3.07	392.97	235.00
126.65	1112.49	3.17	0.82	3.970	-2.38	3.20	412.97	235.00
126.67	1112.62	3.33	0.56	3.820	-2.81	3.37	440.00	235.00
126.67	1112.66	3.10	0.87	4.070	-2.36	3.23	417.50	235.00
126.69	1112.81	3.19	0.60	4.360	-2.36	2.96	375.94	235.00
126.69	1112.83	3.27	0.48	4.010	-2.42	2.90	365.78	235.00
126.71	1113.00	3.39	0.48	4.190	-2.17	2.65	327.66	235.00
126.71	1113.00	3.39	0.34	4.400	-2.33	2.67	330.94	235.00
126.73	1113.19	3.38	0.44	4.360	-2.23	2.67	330.47	235.00
126.75	1113.34	3.29	0.40	4.210	-2.26	2.66	328.90	235.00
126.76	1113.51	3.27	0.33	4.160	-2.27	2.60	319.69	235.00
126.78	1113.67	3.41	0.36	3.700	-2.62	2.98	378.75	235.00
126.80	1113.84	3.45	0.51	4.410	-2.22	2.73	339.22	235.00
126.84	1114.18	3.43	0.39	4.430	-2.14	2.53	307.82	235.00
126.88	1114.52	3.41	0.47	4.110	-2.05	2.52	306.75	235.00
126.92	1114.86	3.53	0.34	4.350	-2.12	2.46	297.13	235.00
126.95	1115.20	3.67	0.24	4.390	-2.27	2.51	304.84	235.00
126.97	1115.37	3.41	0.15	4.350	-2.24	2.39	287.01	235.00
126.97	1115.37	3.41	0.15	4.450	-2.27	2.42	290.78	235.00
126.99	1115.54	3.31	0.35	4.560	-2.23	2.58	315.91	235.00
127.03	1115.88	3.65	0.35	4.630	-2.15	2.50	303.96	235.00
127.07	1116.22	3.51	0.49	4.600	-2.27	2.76	345.13	235.00
127.11	1116.56	3.65	0.41	4.560	-2.24	2.65	326.78	235.00
127.14	1116.90	3.51	0.38	4.610	-2.21	2.59	318.40	235.00
127.18	1117.24	3.63	0.17	4.640	-2.36	2.53	308.55	235.00
127.22	1117.58	3.62	0.27	4.650	-2.31	2.58	316.92	235.00
127.26	1117.94	3.59	0.27	4.430	-2.46	2.73	340.23	235.00
127.27	1118.01	3.56	0.37	4.330	-2.65	3.02	384.69	235.00
127.29	1118.18	3.51	-0.01	4.500	-2.50	2.49	301.70	235.00
127.33	1118.53	3.47	-0.16	4.540	-2.43	2.27	267.82	235.00
127.36	1118.88	3.67	-0.44	4.570	-2.37	1.93	215.26	215.26
127.40	1119.22	3.55	-0.34	4.550	-2.23	1.89	208.42	208.42
127.44	1119.57	3.56	-0.44	4.520	-2.20	1.76	188.68	188.68
127.46	1119.74	3.68	-0.43	4.340	-2.54	2.11	242.50	235.00
127.48	1119.91	3.73	-0.46	4.600	-2.17	1.71	180.40	180.40
127.50	1120.12	3.74	-0.47	4.690	-2.16	1.69	177.03	177.03
127.53	1120.37	3.58	-0.32	4.890	-2.46	2.14	247.66	235.00
127.56	1120.62	3.83	-0.43	4.770	-2.35	1.92	212.81	212.81
127.59	1120.86	3.83	-0.40	4.770	-2.23	1.83	199.48	199.48
127.64	1121.36	3.91	-0.44	4.760	-2.21	1.77	189.22	189.22
127.67	1121.60	4.04	-0.32	4.720	-2.41	2.09	240.31	235.00
127.72	1122.10	4.11	-0.11	4.900	-2.21	2.10	240.94	235.00
127.75	1122.34	4.20	0.23	4.950	-2.36	2.59	317.50	235.00
127.78	1122.59	4.22	0.06	5.090	-2.10	2.16	250.08	235.00
127.83	1123.08	4.19	-0.13	5.080	-2.03	1.90	210.90	210.90
127.89	1123.58	4.17	0.04	4.720	-2.42	2.46	297.03	235.00
127.97	1124.32	4.04	-0.05	5.050	-2.18	2.13	246.72	235.00
128.00	1124.57	4.03	-0.11	4.980	-2.18	2.07	236.72	235.00
128.03	1124.81	4.04	-0.06	5.040	-1.88	1.82	197.66	197.66
128.05	1125.01	4.06	0.15	5.070	-2.02	2.17	252.34	235.00
128.11	1125.55	4.02	-0.04	4.900	-2.22	2.18	253.91	235.00
128.14	1125.86	3.93	-0.18	4.860	-2.14	1.96	219.53	219.53
128.18	1126.17	3.95	-0.04	4.850	-2.01	1.97	221.09	221.09
128.21	1126.48	4.05	-0.28	4.970	-2.01	1.73	183.59	183.59
128.25	1126.79	4.02	0.23	4.890	-2.15	2.38	285.16	235.00
128.27	1126.94	3.96	0.04	4.900	-2.19	2.23	261.72	235.00
128.28	1127.10	4.07	0.42	5.020	-2.15	2.57	314.19	235.00
128.32	1127.40	3.99	0.38	4.960	-2.06	2.44	293.94	235.00
128.35	1127.71	3.79	0.07	4.900	-2.04	2.11	243.15	235.00
128.39	1128.02	3.72	0.35	4.810	-2.12	2.47	299.49	235.00
128.42	1128.33	3.87	0.09	4.800	-2.26	2.35	280.78	235.00
128.45	1128.64	3.87	0.11	4.800	-2.07	2.18	253.22	235.00
128.52	1129.26	3.90	0.44	4.780	-1.92	2.36	281.25	235.00
128.56	1129.56	3.88	0.45	4.900	-1.90	2.35	280.31	235.00
128.59	1129.87	3.80	0.51	4.770	-2.01	2.52	307.50	235.00
128.61	1130.03	3.74	0.65	4.710	-2.02	2.67	330.63	235.00
128.63	1130.18	3.95	0.48	4.340	-1.65	2.13	246.37	235.00
128.66	1130.49	3.73	0.50	4.720	-2.12	2.62	323.10	235.00
128.70	1130.80	3.73	0.45	4.580	-2.18	2.63	324.22	235.00
128.73	1131.11	3.63	0.30	4.630	-2.10	2.40	289.03	235.00
128.76	1131.42	3.59	0.32	4.560	-2.07	2.39	286.41	235.00
128.78	1131.57	3.62	0.17	4.210	-2.54	2.71	336.72	235.00
128.80	1131.73	3.63	0.06	4.490	-2.33	2.39	286.19	235.00
128.83	1132.03	3.70	0.42	4.510	-2.31	2.73	340.47	235.00
128.87	1132.34	3.54	0.11	4.490	-2.50	2.61	320.45	235.00
128.90	1132.65	3.55	0.07	4.610	-2.25	2.32	276.25	235.00
128.94	1132.99	3.74	0.53	4.800	-2.41	2.94	372.30	235.00
128.96	1133.18	3.79	0.37	4.820	-2.35	2.72	337.66	235.00
128.98	1133.37	3.79	0.38	4.760	-2.44	2.82	353.59	235.00
129.02	1133.74	3.68	0.44	4.640	-2.45	2.89	364.53	235.00
129.07	1134.12	3.62	0.27	4.620	-2.47	2.74	341.56	235.00
129.11	1134.49	3.47	0.51	4.700	-2.39	2.90	366.56	235.00
129.15	1134.87	3.61	0.57	4.580	-2.49	3.06	391.25	235.00
129.17	1135.05	3.61	0.34	4.520	-2.45	2.79	349.22	235.00
129.19	1135.24	3.49	0.62	4.550	-2.38	3.00	381.39	235.00
129.23	1135.61	3.74	0.57	4.450	-2.39	2.96	375.31	235.00
129.28	1135.99	3.26	0.63	4.440	-2.54	3.17	409.06	235.00
129.32	1136.36	3.48	0.61	4.230	-2.47	3.08	394.50	235.00
129.36	1136.74	3.53	0.52	4.180	-2.60	3.12	400.47	235.00
129.38	1136.93	3.23	0.63	3.940	-2.79	3.42	447.34	235.00
129.40	1137.11	3.42	0.69	4.320	-2.49	3.18	410.51	235.00
129.44	1137.49	3.35	0.38	4.130	-2.41	2.79	349.00	235.00
129.48	1137.82	3.14	0.15	4.020	-3.01	3.16	407.50	235.00
129.50	1137.96	3.16	0.12	4.850	-2.05	2.17	252.36	235.00
129.52	1138.14	3.27	0.03	4.060	-2.56	2.59	318.13	235.00
129.65	1139.33	3.68	0.61	4.640	-2.31	2.92	368.93	235.00
129.72	1139.97	3.38	0.69	4.680	-2.28	2.97	377.03	235.00
129.76	1140.29	3.49	0.43	4.680	-2.47	2.90	365.78	235.00
129.79	1140.61	3.49	0.62	4.400	-2.37	2.99	380.63	235.00
129.83	1140.93	3.48	0.59	4.130	-2.56	3.15	404.69	235.00
129.86	1141.24	3.84	0.25	4.340	-2.18	2.43	292.34	235.00
129.90	1141.56	2.98	0.41	4.290	-2.19	2.60	320.06	235.00
129.93	1141.88	3.13	0.56	4.150	-2.11	2.67	329.69	235.00
129.97	1142.20	3.20	0.62	4.230	-2.35	2.97	377.03	235.00
130.00	1142.52	3.12	0.51	4.010	-2.32	2.83	355.94	235.00
130.04	1142.84	3.14	0.10	3.910	-2.42	2.52	307.54	235.00
130.21	1144.38	3.48	0.36	4.170	-2.39	2.75	342.32	235.00
130.24	1144.61	3.45	0.64	4.270	-2.22	2.86	359.69	235.00
130.26	1144.85	3.41	0.51	3.890	-1.86	2.37	283.48	235.00
130.32	1145.31	3.37	0.74	4.320	-2.29	3.03	386.25	235.00
130.34	1145.54	3.42	0.64	4.320	-2.58	3.22	416.09	235.00
130.37	1145.77	3.35	0.92	4.210	-2.27	3.19	411.56	235.00
130.42	1146.23	3.12	0.94	3.830	-2.76	3.70	491.25	235.00
130.44	1146.46	3.10	0.82	4.170	-2.14	2.96	376.25	235.00
130.47	1146.69	3.08	0.80	4.140	-2.11	2.91	367.97	235.00
130.48	1146.81	3.22	0.78	4.500	-2.38	3.16	407.72	235.00
130.50	1146.92	3.13	0.72	3.990	-2.84	3.56	469.22	235.00
130.52	1147.15	3.28	0.81	3.910	-2.36	3.17	407.81	235.00
130.55	1147.39	3.08	0.81	4.190	-2.28	3.09	396.72	235.00
130.57	1147.62	3.39	0.66	4.450	-2.48	3.14	404.53	235.00
130.61	1147.96	3.58	0.97	4.480	-2.11	3.08	395.16	235.00
130.65	1148.31	3.06	0.85	4.020	-2.28	3.13	401.97	235.00
130.68	1148.57	3.07	0.49	3.600	-2.65	3.14	403.17	235.00
130.70	1148.71	3.27	0.54	4.010	-2.51	3.05	389.22	235.00
130.72	1148.94	3.25	0.43	3.800	-2.55	2.98	379.27	235.00
130.75	1149.17	2.96	0.17	3.910	-2.52	2.69	333.13	235.00
130.79	1149.55	3.32	0.80	4.120	-1.97	2.77	346.56	235.00
130.81	1149.72	3.40	0.95	4.120	-1.95	2.90	365.63	235.00
130.85	1150.06	3.42	0.91	4.100	-2.18	3.09	396.79	235.00
130.88	1150.39	3.36	0.85	4.100	-2.04	2.89	365.15	235.00
130.92	1150.73	3.35	0.71	3.630	-2.49	3.20	412.50	235.00
131.00	1151.41	3.21	0.71	4.140	-1.99	2.70	334.38	235.00
131.04	1151.75	3.13	0.91	3.710	-2.24	3.15	405.37	235.00
131.07	1152.09	3.24	0.89	3.520	-2.54	3.43	448.91	235.00
131.13	1152.60	3.22	0.89	4.170	-2.25	3.14	403.13	235.00
131.17	1152.93	3.20	1.07	3.940	-2.43	3.50	460.47	235.00
131.19	1153.10	3.22	1.07	4.010	-2.39	3.46	454.22	235.00
131.22	1153.44	3.24	0.88	4.120	-2.33	3.21	414.69	235.00
131.30	1154.12	3.19	1.05	4.180	-2.01	3.06	391.41	235.00
131.34	1154.46	3.22	0.93	3.790	-2.15	3.08	393.75	235.00
131.38	1154.80	3.19	1.08	4.100	-1.94	3.02	385.31	235.00
131.41	1155.14	3.20	1.01	3.980	-1.83	2.84	357.28	235.00
131.49	1155.81	2.95	0.94	4.070	-2.00	2.94	371.88	235.00
131.53	1156.15	3.02	0.93	3.980	-1.94	2.87	360.94	235.00
131.60	1156.83	3.21	0.96	3.960	-2.36	3.32	432.03	235.00
131.64	1157.17	3.06	1.12	3.660	-2.30	3.42	447.50	235.00
131.92	1159.67	2.89	1.08	2.900	-2.46	3.54	466.72	235.00
131.94	1159.85	2.88	0.93	3.840	-1.96	2.89	365.31	235.00
131.98	1160.21	3.03	1.01	3.820	-2.09	3.10	397.81	235.00
132.02	1160.57	3.00	1.07	3.820	-2.00	3.07	392.97	235.00
132.06	1160.93	3.01	0.96	3.850	-2.10	3.06	391.72	235.00
132.10	1161.28	3.08	1.15	3.440	-1.54	2.69	333.73	235.00
132.12	1161.46	3.03	1.03	3.500	-1.73	2.76	344.86	235.00
132.16	1161.82	2.98	1.16	3.470	-1.76	2.92	369.50	235.00
132.20	1162.19	3.09	1.09	3.970	-2.09	3.18	409.84	235.00
132.24	1162.58	3.10	0.98	3.720	-2.51	3.49	458.75	235.00
132.28	1162.96	3.12	1.01	3.810	-2.12	3.13	402.03	235.00
132.42	1164.31	2.88	0.76	3.880	-2.65	3.41	445.63	235.00
132.48	1164.89	2.71	0.79	3.610	-2.15	2.94	372.34	235.00
132.72	1167.19	2.96	0.85	3.910	-2.35	3.20	412.97	235.00
132.82	1168.16	2.93	0.98	3.960	-2.22	3.20	412.81	235.00
132.86	1168.54	2.80	0.66	3.900	-2.35	3.01	384.22	235.00
132.90	1168.93	2.96	0.97	3.790	-2.54	3.51	462.19	235.00
133.28	1172.58	3.13	0.97	3.870	-2.44	3.41	445.63	235.00
133.30	1172.77	3.11	1.00	4.120	-2.23	3.23	418.59	235.00
133.36	1173.35	3.03	0.78	4.200	-2.22	3.00	381.56	235.00
133.40	1173.74	3.07	0.45	4.030	-2.30	2.75	343.59	235.00
133.58	1175.47	3.15	0.87	3.750	-2.36	3.23	417.34	235.00
133.84	1177.97	3.11	0.71	4.040	-1.81	2.52	306.25	235.00
134.16	1181.05	3.10	0.89	3.950	-2.18	3.07	393.59	235.00
134.20	1181.43	3.23	0.53	3.630	-2.13	2.66	329.38	235.00
134.22	1181.62	3.29	0.51	3.960	-2.32	2.83	354.84	235.00
134.24	1181.82	3.32	0.42	3.890	-2.34	2.76	343.75	235.00
134.28	1182.20	3.06	0.88	3.930	-2.34	3.22	416.09	235.00
134.30	1182.39	3.15	0.86	3.950	-2.07	2.93	371.45	235.00
134.32	1182.59	3.32	0.57	4.000	-1.91	2.48	300.79	235.00
134.34	1182.78	3.24	0.39	4.080	-2.09	2.48	301.09	235.00
134.36	1182.97	3.01	0.85	4.080	-2.29	3.14	403.75	235.00
134.38	1183.16	3.09	0.97	4.660	-2.04	3.01	382.96	235.00
134.40	1183.36	3.10	0.67	4.020	-2.19	2.86	359.53	235.00
134.44	1183.74	3.12	0.83	3.810	-2.44	3.27	424.84	235.00
134.46	1183.93	3.01	0.80	3.990	-1.99	2.79	349.64	235.00
134.48	1184.12	3.10	0.80	3.980	-2.23	3.03	387.39	235.00
134.52	1184.51	3.18	0.68	4.090	-2.02	2.70	335.25	235.00
134.56	1184.89	3.04	0.94	4.060	-2.17	3.11	398.91	235.00
134.60	1185.28	3.09	0.93	4.060	-1.92	2.85	357.89	235.00
134.64	1185.66	3.16	0.86	4.040	-2.10	2.96	376.41	235.00
134.68	1186.05	3.04	0.91	3.980	-2.22	3.13	402.60	235.00
134.72	1186.43	3.07	0.78	4.020	-2.24	3.02	385.66	235.00
134.76	1186.82	3.20	0.80	4.110	-2.34	3.14	404.08	235.00
134.80	1187.20	3.00	0.66	4.130	-2.37	3.03	387.14	235.00
134.84	1187.59	3.26	0.63	4.020	-2.23	2.86	359.96	235.00
134.88	1187.97	3.28	0.72	4.250	-2.23	2.95	375.00	235.00
134.92	1188.36	3.40	0.00	4.100	-2.38	2.38	284.93	235.00
134.96	1188.74	3.24	0.55	4.160	-2.29	2.84	357.58	235.00
135.00	1189.13	3.32	0.23	4.230	-2.37	2.60	319.47	235.00
135.04	1189.51	3.22	0.04	4.260	-2.38	2.42	291.02	235.00
135.08	1189.88	3.56	0.15	4.380	-2.19	2.34	278.50	235.00
135.12	1190.18	3.64	0.30	4.650	-2.20	2.50	303.18	235.00
135.14	1190.34	3.66	0.10	4.610	-2.39	2.49	301.59	235.00
135.18	1190.65	3.80	0.58	4.630	-2.49	3.07	393.23	235.00
135.22	1190.95	3.59	0.26	4.670	-2.25	2.51	304.80	235.00
135.26	1191.26	3.99	0.22	4.700	-2.21	2.43	293.46	235.00
135.30	1191.57	3.79	0.55	4.660	-2.34	2.89	364.70	235.00
135.34	1191.88	3.72	0.37	4.720	-2.24	2.61	321.60	235.00
135.38	1192.19	3.70	0.50	4.720	-2.15	2.65	326.68	235.00
135.42	1192.49	3.71	0.31	4.710	-2.15	2.46	298.02	235.00
135.46	1192.80	3.86	0.45	4.750	-2.27	2.72	338.26	235.00
135.50	1193.11	3.82	0.42	4.700	-2.09	2.51	304.70	235.00
135.54	1193.42	3.87	0.53	4.690	-2.14	2.67	329.96	235.00
135.56	1193.57	3.97	0.56	4.660	-2.08	2.64	325.92	235.00
135.58	1193.72	3.80	0.37	4.670	-2.17	2.54	309.69	235.00
135.62	1194.03	3.77	0.27	4.810	-2.44	2.71	336.38	235.00
135.66	1194.34	3.78	0.32	4.890	-2.32	2.64	326.04	235.00
135.70	1194.65	3.99	0.31	4.860	-2.35	2.66	329.15	235.00
135.74	1194.96	4.17	0.51	5.020	-2.05	2.56	312.52	235.00
135.76	1195.11	4.01	0.28	4.960	-2.11	2.39	286.40	235.00
135.78	1195.26	3.74	0.31	4.800	-2.22	2.53	308.35	235.00
135.82	1195.57	3.91	0.22	4.690	-2.25	2.47	299.88	235.00
135.86	1195.88	3.94	0.23	4.350	-2.19	2.42	290.95	235.00
135.90	1196.19	3.93	0.50	4.860	-2.11	2.61	320.45	235.00
135.94	1196.49	3.97	0.27	4.900	-2.11	2.38	284.39	235.00
135.96	1196.65	4.01	0.26	4.790	-2.18	2.44	294.91	235.00
135.98	1196.80	4.09	0.37	5.100	-2.21	2.58	315.79	235.00
136.02	1197.11	4.07	0.57	4.420	-1.47	2.04	232.03	232.03
136.06	1197.42	3.95	0.64	4.840	-2.01	2.65	327.46	235.00
136.10	1197.73	4.11	0.59	5.090	-2.08	2.67	330.67	235.00
